Issue Key,SUMMARY,FixVersion,Parent,CE,EE
EE-5580,"[x] [5NF] When deploying Kube Daemonset with shared storage, the PVC needs RWX access mode",EE-2.20.0,,✓,✓
EE-5577,[NOT2.19Regression][REVIEWED] Unable to successfully update the IP address of environments,EE-2.20.0,,✓,✓
EE-5427,[x] Issue giving a user access to an environment group containing a Kubernetes environment that's down,EE-2.20.0,,✓,✓
EE-5371,"[x] Login page of publicly exposed Portainer instance should not show ""Deceptive site ahead""",EE-2.20.0,,✓,✓
EE-5366,[x] Improve text layout and hierarchy,EE-2.20.0,,✓,✓
EE-5065,Kube Add/Edit Application - Console error when updating resource sliders (quota-related),EE-2.20.0,,✓,✓
EE-5061,[NOT2.19Regression][REVIEWED] Kube Edit Namespace - Resource quota error,EE-2.20.0,,-,✓
EE-5055,Inconsistencies with image up to date indicators between lists and details pages,EE-2.20.0,,-,✓
EE-4899,No success notification when adding user to a team,EE-2.20.0,,✓,✓
EE-4775,Kubernetes Ingress list screen does not handle system resources correctly,EE-2.20.0,,✓,✓
EE-4602,UI - Toggle restyling,EE-2.20.0,,✓,✓
EE-4408,Incorrect error message can show for Kubernetes secret,EE-2.20.0,,✓,✓
EE-4190,"UI - High contrast mode field borders, box selector text and expiry banner hard to make out",EE-2.20.0,,✓,✓
EE-4107,UI - Modals and tooltips blend into background in high contrast mode,EE-2.20.0,,✓,✓
EE-6550,[Develop] Default mustache variable values are being prepopulated on deploy custom template screen,EE-2.20.0,,-,✓
EE-6514,[Develop] TLS connections with Agents are broken,EE-2.20.0,,✓,✓
EE-6510,Swagger API documentation - /stacks/{id}/images_status has an extraneous parameter detailed,EE-2.20.0,,-,✓
EE-6502,Agent: data race in crypto/ecdsa.go,EE-2.20.0,,✓,✓
EE-6492,Edge Stacks with GitOps stop polling after restarting the server,EE-2.20.0,,-,✓
EE-6481,Nil pointer dereference in chisel.pingAgent(),EE-2.20.0,,✓,✓
EE-6472,[Develop] Edge stack screen fails to load after creating a stack with a disassociated environment,EE-2.20.0,,✓,✓
EE-6471,Swagger API documentation -  Some fields are shown with the incorrect case,EE-2.20.0,,✓,✓
EE-6467,Swagger API documentation - kaas version and system version APIs have same swagger id,EE-2.20.0,,-,✓
EE-6461,[Develop] Cannot Add Host File Entries in App Template + Console Errors ,EE-2.20.0,,✓,✓
EE-6456,[Develop]  retag image fails because of csrf,EE-2.20.0,,✓,✓
EE-6446,Incorrect commit link when using Bitbucket,EE-2.20.0,,-,✓
EE-6431,[2.19Regression][REVIEWED]  Edge stack update missing confirmation modal,EE-2.20.0,,-,✓
EE-6430,[NotRegression][REVIEWED] Edge stack re-pull image not working,EE-2.20.0,,-,✓
EE-6429,[2.19Regression][REVIEWED] Edge stack - repository method missing some registry options after deployment,EE-2.20.0,,-,✓
EE-6414,[NOTRegression]  [REVIEWED] Authentication error for unpacker when using webhook,EE-2.20.0,,-,✓
EE-6411,[MustHave] [Regression] [REVIEWED]Cursor shifts to end when editing env vars,EE-2.20.0,,✓,✓
EE-6410,[2.19Regression] [REVIEWED] Cannot sort images by tags,EE-2.20.0,,✓,✓
EE-6401,[Develop] Swarm NodeName info in listing image is lost,EE-2.20.0,,✓,✓
EE-6399,stackutils.RemoveStackVersionFolders() does not supply the error to the callback,EE-2.20.0,,✓,✓
EE-6398,[Develop] Normal and Edge templates inconsistent naming behaviour,EE-2.20.0,,✓,✓
EE-6397,[Develop] Normal templates filter affects edge templates,EE-2.20.0,,✓,✓
EE-6393,[Develop] Missing tool tip for the docker templates,EE-2.20.0,,✓,✓
EE-6391,[Develop] Templates issues,EE-2.20.0,,✓,✓
EE-6390,[Develop] Edge template does not clear selection and mustache variables,EE-2.20.0,,✓,✓
EE-6382,[Develop] Users are not prompted to change their password,EE-2.20.0,,✓,✓
EE-6380,[Regression] [REVIEWED] Cannot edit custom templates before deployment in Stack deployment screen,EE-2.20.0,,✓,✓
EE-6378,"[Regression] [REVIEWED] Files in mounted relative path volumes with GitOps don't update when clicking ""Pull and redeploy"" - Swarm only",EE-2.20.0,,-,✓
EE-6377,[MustHave] [NOTRegression] [Core Logic] [REVIEWED] GitOps auto updates can pile up when the deployment time is longer than the polling interval,EE-2.20.0,,✓,✓
EE-6374,[Develop] Swarm - Image List table issues,EE-2.20.0,,✓,✓
EE-6370,[Develop] App template 'Type' dropdown disappears after selecting from it,EE-2.20.0,,✓,✓
EE-6368,[Develop] Unauthorized toast error when Logging out of Portainer,EE-2.20.0,,✓,✓
EE-6363,[Develop] Default template URL is incorrect,EE-2.20.0,,✓,✓
EE-6357,[Develop] Edge custom template repo issues,EE-2.20.0,,✓,✓
EE-6332,[Develop] Async cannot create snapshot,EE-2.20.0,,-,✓
EE-6328,[Develop] Edge custom template issue,EE-2.20.0,,✓,✓
EE-6325,[NotRegression] [REVIEWED] Triggering a non-admin container's webhook changes permission to admin-only,EE-2.20.0,,-,✓
EE-6323,[Develop] Volumes browse button spacing issue,EE-2.20.0,,✓,✓
